# this is an example snapshot_times.txt file
# copy this file into each Gizmo simulation directory,
# to be alongside the output/ directory that stores the snapshots
# times assume cosmology from Planck 2015
# @author: Andrew Wetzel <arwetzel@gmail.com>
# i scale-factor redshift time[Gyr] time_width[Myr]
 65 0.1634921  5.11650467  1.13634192  16.45659
 66 0.1650794  5.05769253  1.15287596  16.53404
 67 0.1666667  5.00000000  1.16948762  16.61166
 68 0.1682540  4.94339609  1.18617599  16.68836
 69 0.1698413  4.88785028  1.20294077  16.76478
 70 0.1714286  4.83333349  1.21978136  16.84060
 71 0.1730159  4.77981663  1.23669766  16.91630
 72 0.1746032  4.72727251  1.25368923  16.99157
 73 0.1761905  4.67567587  1.27075517  17.06594
 74 0.1777778  4.62500000  1.28789569  17.14052
 75 0.1793651  4.57522106  1.30510989  17.21420
 76 0.1809524  4.52631569  1.32239752  17.28763
 77 0.1825397  4.47826099  1.33975801  17.36048
 78 0.1841270  4.43103456  1.35719143  17.43342
 79 0.1857143  4.38461542  1.37469689  17.50546
 80 0.1873016  4.33898306  1.39227415  17.57726
 81 0.1888889  4.29411745  1.40992282  17.64867
 82 0.1904762  4.25000000  1.42764249  17.71968
 83 0.1920635  4.20661163  1.44543278  17.79029
 84 0.1936508  4.16393423  1.46329331  17.86052
 85 0.1952381  4.12195110  1.48122367  17.93036
 86 0.1968254  4.08064508  1.49922349  17.99982
 87 0.1984127  4.03999996  1.51729240  18.06890
 88 0.2000000  4.00000000  1.53543000  18.13760
 89 0.2015625  3.96124029  1.55335084  17.92084
 90 0.2031250  3.92307687  1.57133787  17.98703
 91 0.2046875  3.88549614  1.58939006  18.05219
 92 0.2062500  3.84848475  1.60750739  18.11733
 93 0.2078125  3.81203008  1.62568970  18.18231
 94 0.2093750  3.77611947  1.64393646  18.24676
 95 0.2109375  3.74074078  1.66224715  18.31069
 96 0.2125000  3.70588231  1.68062179  18.37463
 97 0.2140625  3.67153287  1.69905985  18.43806
 98 0.2156250  3.63768125  1.71756082  18.50097
 99 0.2171875  3.60431647  1.73612454  18.56372
100 0.2187500  3.57142854  1.75475103  18.62649
101 0.2203125  3.53900719  1.77343906  18.68804
102 0.2218750  3.50704241  1.79218921  18.75015
103 0.2234375  3.47552443  1.81100078  18.81157
104 0.2250000  3.44444442  1.82987326  18.87248
105 0.2265625  3.41379309  1.84880668  18.93343
106 0.2281250  3.38356161  1.86780055  18.99387
107 0.2296875  3.35374141  1.88685436  19.05381
108 0.2312500  3.32432437  1.90596796  19.11360
109 0.2328125  3.29530191  1.92514141  19.17345
110 0.2343750  3.26666665  1.94437383  19.23242
111 0.2359375  3.23841071  1.96366454  19.29071
112 0.2375000  3.21052623  1.98301451  19.34997
113 0.2390625  3.18300653  2.00242269  19.40818
114 0.2406250  3.15584421  2.02188821  19.46552
115 0.2421875  3.12903237  2.04141168  19.52347
116 0.2437500  3.10256410  2.06099261  19.58093
117 0.2453125  3.07643318  2.08062995  19.63733
118 0.2468750  3.05063295  2.10032431  19.69436
119 0.2484375  3.02515721  2.12007502  19.75071
120 0.2500000  3.00000000  2.13988158  19.80656
121 0.2516026  2.97452235  2.16025396  20.37238
122 0.2532051  2.94936705  2.18068463  20.43068
123 0.2548077  2.92452836  2.20117329  20.48865
124 0.2564103  2.90000010  2.22171958  20.54630
125 0.2580128  2.87577629  2.24232358  20.60400
126 0.2596154  2.85185194  2.26298420  20.66062
127 0.2612179  2.82822084  2.28370149  20.71729
128 0.2628205  2.80487800  2.30447513  20.77364
129 0.2644231  2.78181815  2.32530480  20.82967
130 0.2660256  2.75903606  2.34619018  20.88538
131 0.2676282  2.73652697  2.36713095  20.94077
132 0.2692308  2.71428561  2.38812719  20.99624
133 0.2708333  2.69230771  2.40917779  21.05060
134 0.2724359  2.67058825  2.43028283  21.10504
135 0.2740385  2.64912271  2.45144199  21.15916
136 0.2756410  2.62790704  2.47265496  21.21297
137 0.2772436  2.60693645  2.49392143  21.26646
138 0.2788462  2.58620691  2.51524107  21.31964
139 0.2804487  2.56571436  2.53661358  21.37251
140 0.2820513  2.54545450  2.55803905  21.42547
141 0.2836538  2.52542377  2.57951636  21.47731
142 0.2852564  2.50561810  2.60104521  21.52885
143 0.2868590  2.48603344  2.62262648  21.58127
144 0.2884615  2.46666670  2.64425867  21.63219
145 0.2900641  2.44751382  2.66594186  21.68319
146 0.2916667  2.42857146  2.68767575  21.73389
147 0.2932692  2.40983605  2.70946004  21.78429
148 0.2948718  2.39130425  2.73129482  21.83478
149 0.2964744  2.37297297  2.75317897  21.88415
150 0.2980769  2.35483861  2.77511259  21.93363
151 0.2996795  2.33689833  2.79709539  21.98280
152 0.3012821  2.31914902  2.81912705  22.03166
153 0.3028846  2.30158734  2.84120728  22.08022
154 0.3044872  2.28421044  2.86333617  22.12890
155 0.3060897  2.26701570  2.88551261  22.17644
156 0.3076923  2.25000000  2.90773671  22.22410
157 0.3092949  2.23316050  2.93000816  22.27145
158 0.3108974  2.21649480  2.95232666  22.31850
159 0.3125000  2.20000005  2.97469191  22.36525
160 0.3141026  2.18367338  2.99710362  22.41171
161 0.3157051  2.16751266  3.01956148  22.45786
162 0.3173077  2.15151525  3.04206519  22.50371
163 0.3189103  2.13567829  3.06461488  22.54969
164 0.3205128  2.11999989  3.08720941  22.59453
165 0.3221154  2.10447764  3.10984889  22.63949
166 0.3237179  2.08910894  3.13253304  22.68415
167 0.3253205  2.07389164  3.15526156  22.72852
168 0.3269231  2.05882359  3.17803415  22.77259
169 0.3285256  2.04390240  3.20085051  22.81636
170 0.3301282  2.02912617  3.22371077  22.86027
171 0.3317308  2.01449275  3.24661380  22.90302
172 0.3333333  2.00000000  3.26955971  22.94591
173 0.3349206  1.98578203  3.29232871  22.76900
174 0.3365079  1.97169805  3.31514006  22.81136
175 0.3380952  1.95774651  3.33799221  22.85215
176 0.3396825  1.94392514  3.36088529  22.89308
177 0.3412698  1.93023264  3.38381901  22.93373
178 0.3428571  1.91666675  3.40679267  22.97366
179 0.3444444  1.90322578  3.42980685  23.01417
180 0.3460317  1.88990831  3.45286082  23.05397
181 0.3476190  1.87671232  3.47595475  23.09392
182 0.3492063  1.86363637  3.49908703  23.13229
183 0.3507937  1.85067868  3.52225915  23.17211
184 0.3523810  1.83783782  3.54546949  23.21035
185 0.3539683  1.82511210  3.56871823  23.24874
186 0.3555556  1.81250000  3.59200507  23.28684
187 0.3571429  1.79999995  3.61532974  23.32467
188 0.3587302  1.78761065  3.63869196  23.36222
189 0.3603175  1.77533042  3.66209101  23.39905
190 0.3619048  1.76315784  3.68552793  23.43692
191 0.3634921  1.75109172  3.70900111  23.47319
192 0.3650794  1.73913038  3.73251029  23.50918
193 0.3666667  1.72727275  3.75605650  23.54621
194 0.3682540  1.71551716  3.77963859  23.58209
195 0.3698413  1.70386267  3.80325539  23.61680
196 0.3714286  1.69230771  3.82690795  23.65256
197 0.3730159  1.68085110  3.85059555  23.68761
198 0.3746032  1.66949153  3.87431792  23.72237
199 0.3761905  1.65822780  3.89807434  23.75642
200 0.3777778  1.64705884  3.92186542  23.79108
201 0.3793651  1.63598335  3.94569043  23.82502
202 0.3809524  1.62500000  3.96954956  23.85913
203 0.3825397  1.61410785  3.99344164  23.89207
204 0.3841270  1.60330582  4.01736682  23.92519
205 0.3857143  1.59259260  4.04132440  23.95758
206 0.3873016  1.58196723  4.06531500  23.99060
207 0.3888889  1.57142866  4.08933789  24.02289
208 0.3904762  1.56097555  4.11339326  24.05537
209 0.3920635  1.55060732  4.13747993  24.08667
210 0.3936508  1.54032254  4.16159807  24.11815
211 0.3952381  1.53012049  4.18574743  24.14935
212 0.3968254  1.51999998  4.20992771  24.18029
213 0.3984127  1.50996017  4.23413867  24.21095
214 0.4000000  1.50000000  4.25838001  24.24135
215 0.4015873  1.49011862  4.28265149  24.27147
216 0.4031746  1.48031497  4.30695281  24.30133
217 0.4047619  1.47058821  4.33128373  24.33091
218 0.4063492  1.46093750  4.35564396  24.36023
219 0.4079365  1.45136189  4.38003324  24.38928
220 0.4095238  1.44186056  4.40445084  24.41760
221 0.4111111  1.43243241  4.42889788  24.44703
222 0.4126984  1.42307687  4.45337270  24.47482
223 0.4142857  1.41379309  4.47787550  24.50280
224 0.4158730  1.40458024  4.50240602  24.53052
225 0.4174603  1.39543724  4.52696399  24.55797
226 0.4190476  1.38636363  4.55154960  24.58561
227 0.4206349  1.37735856  4.57616120  24.61161
228 0.4222222  1.36842108  4.60079993  24.63872
229 0.4238095  1.35955060  4.62546504  24.66511
230 0.4253968  1.35074627  4.65015674  24.69170
231 0.4269841  1.34200740  4.67487338  24.71664
232 0.4285714  1.33333325  4.69961608  24.74270
233 0.4301587  1.32472324  4.72438413  24.76804
234 0.4317460  1.31617653  4.74917725  24.79312
235 0.4333333  1.30769229  4.77399519  24.81794
236 0.4349206  1.29927015  4.79883721  24.84203
237 0.4365079  1.29090905  4.82370447  24.86726
238 0.4380952  1.28260875  4.84859530  24.89083
239 0.4396825  1.27436817  4.87350990  24.91460
240 0.4412698  1.26618707  4.89844756  24.93766
241 0.4428571  1.25806451  4.92340941  24.96185
242 0.4444444  1.25000000  4.94839380  24.98439
243 0.4460317  1.24199295  4.97340046  25.00666
244 0.4476190  1.23404264  4.99843009  25.02962
245 0.4492063  1.22614837  5.02348241  25.05233
246 0.4507937  1.21830988  5.04855625  25.07384
247 0.4523810  1.21052635  5.07365134  25.09509
248 0.4539683  1.20279717  5.09876884  25.11750
249 0.4555556  1.19512200  5.12390709  25.13825
250 0.4571429  1.18750000  5.14906630  25.15921
251 0.4587302  1.17993081  5.17424669  25.18039
252 0.4603175  1.17241383  5.19944660  25.19990
253 0.4619048  1.16494846  5.22466718  25.22058
254 0.4634921  1.15753424  5.24990819  25.24101
255 0.4650794  1.15017056  5.27516844  25.26025
256 0.4666667  1.14285707  5.30044766  25.27923
257 0.4682540  1.13559318  5.32574657  25.29891
258 0.4698413  1.12837839  5.35106444  25.31786
259 0.4714286  1.12121212  5.37640149  25.33705
260 0.4730159  1.11409402  5.40175605  25.35456
261 0.4746032  1.10702336  5.42712978  25.37373
262 0.4761905  1.10000002  5.45252100  25.39122
263 0.4777778  1.09302330  5.47792947  25.40847
264 0.4793651  1.08609271  5.50335590  25.42643
265 0.4809524  1.07920790  5.52879957  25.44366
266 0.4825397  1.07236838  5.55426022  25.46066
267 0.4841270  1.06557381  5.57973811  25.47788
268 0.4857143  1.05882347  5.60523154  25.49343
269 0.4873016  1.05211735  5.63074124  25.50970
270 0.4888889  1.04545450  5.65626792  25.52668
271 0.4904762  1.03883505  5.68180943  25.54151
272 0.4920635  1.03225815  5.70736744  25.55801
273 0.4936508  1.02572346  5.73294027  25.57284
274 0.4952381  1.01923084  5.75852770  25.58742
275 0.4968254  1.01277959  5.78413043  25.60273
276 0.4984127  1.00636935  5.80974872  25.61829
277 0.5000000  1.00000000  5.83537993  25.63120
278 0.5015924  0.99365079  5.86110713  25.72721
279 0.5031847  0.98734182  5.88684831  25.74118
280 0.5047771  0.98107260  5.91260323  25.75492
281 0.5063694  0.97484279  5.93837262  25.76939
282 0.5079618  0.96865201  5.96415527  25.78266
283 0.5095541  0.96249998  5.98995000  25.79472
284 0.5111465  0.95638633  6.01575752  25.80753
285 0.5127389  0.95031059  6.04157762  25.82009
286 0.5143312  0.94427240  6.06741102  25.83340
287 0.5159236  0.93827158  6.09325555  25.84454
288 0.5175159  0.93230772  6.11911196  25.85641
289 0.5191083  0.92638040  6.14498099  25.86903
290 0.5207006  0.92048931  6.17086047  25.87948
291 0.5222930  0.91463411  6.19675210  25.89163
292 0.5238854  0.90881461  6.22265276  25.90066
293 0.5254777  0.90303028  6.24856609  25.91333
294 0.5270701  0.89728099  6.27448896  25.92287
295 0.5286624  0.89156628  6.30042309  25.93413
296 0.5302548  0.88588589  6.32636631  25.94322
297 0.5318471  0.88023949  6.35231937  25.95306
298 0.5334395  0.87462687  6.37828301  25.96364
299 0.5350318  0.86904758  6.40425508  25.97207
300 0.5366242  0.86350149  6.43023632  25.98124
301 0.5382166  0.85798818  6.45622748  25.99117
302 0.5398089  0.85250741  6.48222641  25.99893
303 0.5414013  0.84705877  6.50823385  26.00744
304 0.5429936  0.84164220  6.53425057  26.01672
305 0.5445860  0.83625728  6.56027439  26.02382
306 0.5461783  0.83090383  6.58630608  26.03169
307 0.5477707  0.82558137  6.61234640  26.04031
308 0.5493631  0.82028991  6.63839317  26.04678
309 0.5509554  0.81502891  6.66444717  26.05400
310 0.5525478  0.80979830  6.69050819  26.06101
311 0.5541401  0.80459768  6.71657697  26.06879
312 0.5557325  0.79942691  6.74265137  26.07440
313 0.5573248  0.79428571  6.76873215  26.08078
314 0.5589172  0.78917378  6.79481910  26.08695
315 0.5605096  0.78409088  6.82091298  26.09389
316 0.5621019  0.77903682  6.84701263  26.09964
317 0.5636943  0.77401131  6.87311586  26.10324
318 0.5652866  0.76901412  6.89922639  26.11053
319 0.5668790  0.76404488  6.92534109  26.11469
320 0.5684713  0.75910360  6.95146169  26.12061
321 0.5700637  0.75418991  6.97758605  26.12436
322 0.5716561  0.74930358  7.00371494  26.12889
323 0.5732484  0.74444437  7.02984914  26.13420
324 0.5748408  0.73961222  7.05598551  26.13637
325 0.5764331  0.73480660  7.08212776  26.14225
326 0.5780255  0.73002750  7.10827375  26.14598
327 0.5796178  0.72527468  7.13442228  26.14854
328 0.5812102  0.72054791  7.16057416  26.15188
329 0.5828025  0.71584702  7.18672918  26.15502
330 0.5843949  0.71117169  7.21288812  26.15894
331 0.5859873  0.70652169  7.23904884  26.16072
332 0.5875796  0.70189703  7.26521211  26.16328
333 0.5891720  0.69729728  7.29137776  26.16564
334 0.5907643  0.69272238  7.31754656  26.16880
335 0.5923567  0.68817198  7.34371636  26.16981
336 0.5939490  0.68364608  7.36988895  26.17258
337 0.5955414  0.67914438  7.39606216  26.17321
338 0.5971338  0.67466670  7.42223680  26.17464
339 0.5987261  0.67021281  7.44841267  26.17587
340 0.6003185  0.66578251  7.47459057  26.17790
341 0.6019108  0.66137570  7.50076737  26.17681
342 0.6035032  0.65699208  7.52694682  26.17945
343 0.6050955  0.65263158  7.55312677  26.17995
344 0.6066879  0.64829397  7.57930605  26.17928
345 0.6082803  0.64397907  7.60548547  26.17942
346 0.6098726  0.63968670  7.63166485  26.17938
347 0.6114650  0.63541669  7.65784400  26.17915
348 0.6130573  0.63116878  7.68402373  26.17973
349 0.6146497  0.62694299  7.71020289  26.17916
350 0.6162420  0.62273902  7.73637933  26.17644
351 0.6178344  0.61855668  7.76255681  26.17747
352 0.6194268  0.61439592  7.78873318  26.17637
353 0.6210191  0.61025637  7.81490729  26.17411
354 0.6226115  0.60613811  7.84107996  26.17267
355 0.6242038  0.60204083  7.86725198  26.17203
356 0.6257962  0.59796441  7.89342026  26.16828
357 0.6273885  0.59390861  7.91958951  26.16925
358 0.6289809  0.58987337  7.94575468  26.16517
359 0.6305732  0.58585858  7.97191755  26.16287
360 0.6321656  0.58186400  7.99807796  26.16041
361 0.6337580  0.57788938  8.02423574  26.15778
362 0.6353503  0.57393479  8.05039171  26.15597
363 0.6369427  0.56999999  8.07654374  26.15203
364 0.6385350  0.56608480  8.10269265  26.14891
365 0.6401274  0.56218910  8.12883828  26.14563
366 0.6417197  0.55831271  8.15498145  26.14317
367 0.6433121  0.55445540  8.18112004  26.13859
368 0.6449045  0.55061728  8.20725584  26.13580
369 0.6464968  0.54679799  8.23338675  26.13091
370 0.6480892  0.54299748  8.25951358  26.12683
371 0.6496815  0.53921568  8.28563618  26.12260
372 0.6512739  0.53545231  8.31175439  26.11821
373 0.6528662  0.53170729  8.33786904  26.11465
374 0.6544586  0.52798051  8.36397801  26.10897
375 0.6560510  0.52427179  8.39008311  26.10510
376 0.6576433  0.52058113  8.41618224  26.09913
377 0.6592357  0.51690823  8.44227720  26.09496
378 0.6608280  0.51325297  8.46836588  26.08868
379 0.6624204  0.50961542  8.49444911  26.08323
380 0.6640127  0.50599521  8.52052675  26.07764
381 0.6656051  0.50239229  8.54659962  26.07287
382 0.6671975  0.49880669  8.57266563  26.06601
383 0.6687898  0.49523810  8.59872561  26.05998
384 0.6703822  0.49168649  8.62477941  26.05380
385 0.6719745  0.48815170  8.65082787  26.04846
386 0.6735669  0.48463359  8.67686890  26.04102
387 0.6751592  0.48113209  8.70290429  26.03540
388 0.6767516  0.47764710  8.72893197  26.02768
389 0.6783439  0.47417840  8.75495278  26.02080
390 0.6799363  0.47072601  8.78096656  26.01378
391 0.6815287  0.46728969  8.80697416  26.00760
392 0.6831210  0.46386951  8.83297252  25.99836
393 0.6847134  0.46046510  8.85896637  25.99385
394 0.6863057  0.45707661  8.88495072  25.98435
395 0.6878981  0.45370370  8.91092737  25.97665
396 0.6894904  0.45034641  8.93689619  25.96882
397 0.6910828  0.44700459  8.96285803  25.96183
398 0.6926752  0.44367820  8.98881080  25.95277
399 0.6942675  0.44036701  9.01475535  25.94455
400 0.6958599  0.43707091  9.04069253  25.93717
401 0.6974522  0.43379000  9.06662025  25.92773
402 0.6990446  0.43052390  9.09253938  25.91912
403 0.7006369  0.42727271  9.11845074  25.91136
404 0.7022293  0.42403629  9.14435228  25.90154
405 0.7038217  0.42081451  9.17024484  25.89256
406 0.7054140  0.41760719  9.19612926  25.88443
407 0.7070064  0.41441441  9.22200349  25.87423
408 0.7085987  0.41123599  9.24786741  25.86392
409 0.7101911  0.40807170  9.27372379  25.85639
410 0.7117834  0.40492171  9.29956962  25.84583
411 0.7133758  0.40178570  9.32540672  25.83709
412 0.7149682  0.39866370  9.35123302  25.82630
413 0.7165605  0.39555559  9.37704938  25.81636
414 0.7181529  0.39246121  9.40285664  25.80727
415 0.7197452  0.38938051  9.42865374  25.79710
416 0.7213376  0.38631350  9.45443958  25.78584
417 0.7229299  0.38325989  9.48021502  25.77544
418 0.7245223  0.38021979  9.50597995  25.76493
419 0.7261146  0.37719300  9.53173426  25.75431
420 0.7277070  0.37417939  9.55747879  25.74453
421 0.7292994  0.37117901  9.58321152  25.73272
422 0.7308917  0.36819169  9.60893329  25.72177
423 0.7324841  0.36521739  9.63464399  25.71071
424 0.7340764  0.36225599  9.66034353  25.69954
425 0.7356688  0.35930741  9.68603276  25.68922
426 0.7372611  0.35637149  9.71170963  25.67688
427 0.7388535  0.35344830  9.73737599  25.66635
428 0.7404459  0.35053760  9.76303075  25.65476
429 0.7420382  0.34763950  9.78867190  25.64115
430 0.7436306  0.34475371  9.81430317  25.63127
431 0.7452229  0.34188029  9.83992158  25.61841
432 0.7468153  0.33901921  9.86552800  25.60642
433 0.7484076  0.33617020  9.89112327  25.59528
434 0.7500000  0.33333331  9.91670635  25.58308
435 0.7515924  0.33050850  9.94227522  25.56887
436 0.7531847  0.32769561  9.96783266  25.55744
437 0.7547771  0.32489449  9.99337952  25.54686
438 0.7563694  0.32210529 10.01891093  25.53141
439 0.7579618  0.31932771 10.04443157  25.52064
440 0.7595541  0.31656179 10.06993849  25.50692
441 0.7611465  0.31380749 10.09543349  25.49500
442 0.7627389  0.31106469 10.12091363  25.48014
443 0.7643312  0.30833331 10.14638263  25.46900
444 0.7659236  0.30561331 10.17183754  25.45491
445 0.7675159  0.30290461 10.19727921  25.44168
446 0.7691083  0.30020699 10.22270853  25.42931
447 0.7707006  0.29752070 10.24812348  25.41495
448 0.7722930  0.29484540 10.27352589  25.40241
449 0.7738854  0.29218110 10.29891282  25.38693
450 0.7754777  0.28952771 10.32428894  25.37612
451 0.7770701  0.28688520 10.34964845  25.35952
452 0.7786624  0.28425360 10.37499509  25.34663
453 0.7802548  0.28163269 10.40032875  25.33366
454 0.7818471  0.27902240 10.42564746  25.31871
455 0.7834395  0.27642280 10.45095303  25.30558
456 0.7850318  0.27383369 10.47624255  25.28952
457 0.7866242  0.27125511 10.50151877  25.27622
458 0.7882166  0.26868689 10.52678162  25.26284
459 0.7898089  0.26612899 10.55203006  25.24844
460 0.7914013  0.26358151 10.57726307  25.23301
461 0.7929936  0.26104420 10.60248153  25.21846
462 0.7945860  0.25851700 10.62768629  25.20477
463 0.7961783  0.25600001 10.65287541  25.18911
464 0.7977707  0.25349301 10.67804973  25.17433
465 0.7993631  0.25099599 10.70321014  25.16041
466 0.8009554  0.24850890 10.72835467  25.14453
467 0.8025478  0.24603170 10.75348420  25.12953
468 0.8041401  0.24356440 10.77859865  25.11445
469 0.8057325  0.24110670 10.80369889  25.10024
470 0.8073248  0.23865880 10.82878297  25.08408
471 0.8089172  0.23622049 10.85385176  25.06879
472 0.8105096  0.23379169 10.87890613  25.05437
473 0.8121019  0.23137251 10.90394507  25.03894
474 0.8136943  0.22896279 10.92896758  25.02251
475 0.8152866  0.22656250 10.95397452  25.00694
476 0.8168790  0.22417150 10.97896584  24.99132
477 0.8184713  0.22178990 11.00394239  24.97656
478 0.8200637  0.21941750 11.02890225  24.95986
479 0.8216561  0.21705429 11.05384629  24.94404
480 0.8232484  0.21470021 11.07877444  24.92815
481 0.8248408  0.21235520 11.10368850  24.91406
482 0.8264331  0.21001931 11.12858282  24.89432
483 0.8280255  0.20769230 11.15346480  24.88197
484 0.8296178  0.20537430 11.17832877  24.86397
485 0.8312102  0.20306510 11.20317655  24.84778
486 0.8328025  0.20076481 11.22800900  24.83245
487 0.8343949  0.19847330 11.25282328  24.81428
488 0.8359873  0.19619051 11.27762305  24.79977
489 0.8375796  0.19391631 11.30240638  24.78333
490 0.8391720  0.19165090 11.32717138  24.76499
491 0.8407643  0.18939389 11.35192261  24.75123
492 0.8423567  0.18714561 11.37665446  24.73185
493 0.8439490  0.18490569 11.40137151  24.71705
494 0.8455414  0.18267420 11.42607092  24.69941
495 0.8471338  0.18045110 11.45075357  24.68265
496 0.8487261  0.17823640 11.47542033  24.66676
497 0.8503185  0.17603000 11.50006838  24.64805
498 0.8519108  0.17383181 11.52470043  24.63205
499 0.8535032  0.17164180 11.54931643  24.61600
500 0.8550955  0.16946000 11.57391357  24.59714
501 0.8566879  0.16728620 11.59849732  24.58375
502 0.8582803  0.16512060 11.62306026  24.56295
503 0.8598726  0.16296300 11.64760696  24.54670
504 0.8614650  0.16081330 11.67213735  24.53040
505 0.8630573  0.15867160 11.69664957  24.51221
506 0.8646497  0.15653780 11.72114447  24.49490
507 0.8662420  0.15441179 11.74562201  24.47754
508 0.8678344  0.15229359 11.77008306  24.46105
509 0.8694268  0.15018320 11.79452574  24.44269
510 0.8710191  0.14808039 11.81895276  24.42702
511 0.8726115  0.14598539 11.84335950  24.40674
512 0.8742038  0.14389800 11.86774957  24.39007
513 0.8757962  0.14181820 11.89212293  24.37336
514 0.8773885  0.13974591 11.91647770  24.35478
515 0.8789809  0.13768120 11.94081386  24.33616
516 0.8805732  0.13562390 11.96513409  24.32023
517 0.8821656  0.13357399 11.98943652  24.30243
518 0.8837580  0.13153151 12.01372112  24.28460
519 0.8853503  0.12949640 12.03798694  24.26582
520 0.8869427  0.12746860 12.06223485  24.24791
521 0.8885350  0.12544800 12.08646572  24.23087
522 0.8901274  0.12343470 12.11067770  24.21198
523 0.8917197  0.12142860 12.13487074  24.19305
524 0.8933121  0.11942960 12.15904754  24.17680
525 0.8949045  0.11743770 12.18320533  24.15779
526 0.8964968  0.11545290 12.20734589  24.14056
527 0.8980892  0.11347520 12.23146738  24.12149
528 0.8996815  0.11150440 12.25557067  24.10329
529 0.9012739  0.10954060 12.27965662  24.08595
530 0.9028662  0.10758380 12.30372340  24.06678
531 0.9044586  0.10563380 12.32777187  24.04847
532 0.9060510  0.10369070 12.35180200  24.03013
533 0.9076433  0.10175440 12.37581376  24.01176
534 0.9092357  0.09982490 12.39980802  23.99426
535 0.9108280  0.09790210 12.42378385  23.97583
536 0.9124204  0.09598600 12.44774031  23.95646
537 0.9140127  0.09407670 12.47167739  23.93707
538 0.9156051  0.09217390 12.49559773  23.92034
539 0.9171975  0.09027780 12.51949951  23.90179
540 0.9187898  0.08838820 12.54338182  23.88231
541 0.9203822  0.08650520 12.56724641  23.86459
542 0.9219745  0.08462870 12.59109058  23.84417
543 0.9235669  0.08275860 12.61491876  23.82818
544 0.9251592  0.08089500 12.63872646  23.80770
545 0.9267516  0.07903780 12.66251544  23.78898
